plan_name,total_cost,total_usage,avg_monthly,avg_usage,2021-Mar_cost, 2021-Mar_usage,2021-Apr_cost, 2021-Apr_usage,2021-May_cost, 2021-May_usage,2021-Jun_cost, 2021-Jun_usage,2021-Jul_cost, 2021-Jul_usage,2021-Aug_cost, 2021-Aug_usage,2021-Sep_cost, 2021-Sep_usage,2021-Oct_cost, 2021-Oct_usage,2021-Nov_cost, 2021-Nov_usage,2021-Dec_cost, 2021-Dec_usage,2022-Jan_cost, 2022-Jan_usage,2022-Feb_cost, 2022-Feb_usage,2022-Mar_cost, 2022-Mar_usage,2022-Apr_cost, 2022-Apr_usage,2022-May_cost, 2022-May_usage,2022-Jun_cost, 2022-Jun_usage,2022-Jul_cost, 2022-Jul_usage,2022-Aug_cost, 2022-Aug_usage,2022-Sep_cost, 2022-Sep_usage,2022-Oct_cost, 2022-Oct_usage,2022-Nov_cost, 2022-Nov_usage,2022-Dec_cost, 2022-Dec_usage,2023-Jan_cost, 2023-Jan_usage,2023-Feb_cost, 2023-Feb_usage,2023-Mar_cost, 2023-Mar_usage,2023-Apr_cost, 2023-Apr_usage,2023-May_cost, 2023-May_usage,2023-Jun_cost, 2023-Jun_usage,2023-Jul_cost, 2023-Jul_usage,2023-Aug_cost, 2023-Aug_usage
existing,11355.750000000002,67986.40000000001,378.52500000000003,2266.2133333333336,131.26,1178.0,144.54,1316.2,242.21,2073.8,336.7,2820.9,444.84,3424.2,470.99,3557.9,385.56,2553.5,372.2,2317.4,222.88,1352.2,245.11,1525.0,185.08,1108.6,177.54,1063.3,189.36,1173.9,308.84,1957.7,479.17,3044.6,559.2,3427.8,581.62,3310.4,588.71,3363.7,521.04,2830.2,382.28,1994.8,262.42,1333.5,277.17,1412.8,299.97,1521.9,272.46,1302.8,323.62,1600.3,321.22,1644.0,496.16,2534.9,718.37,3674.9,792.53,4055.7,622.7,3511.5
4change_PowerMaxxSaver24,8864.0788208,67986.40000000001,295.46929402666666,2266.2133333333336,184.06331599999996,1178.0,204.5614164,1316.2,216.93016360000001,2073.8,327.7415298,2820.9,417.22419239999994,3424.2,437.05484379999996,3557.9,288.080227,2553.5,253.0614028,2317.4,209.90100839999997,1352.2,235.53104999999996,1525.0,173.76976919999998,1108.6,167.0507826,1063.3,183.4551958,1173.9,299.7099794,1957.7,360.9211611999999,3044.6,417.7581516000001,3427.8,400.34514879999995,3310.4,408.2507114,3363.7,329.1209244,2830.2,305.2127256,1994.8,207.127387,1333.5,218.88932159999996,1412.8,235.07125179999997,1521.9,202.5739016,1302.8,246.69969659999998,1600.3,253.181368,1644.0,285.32143779999996,2534.9,454.4085178,3674.9,510.8895354,4055.7,430.172703,3511.5
4change_PowerMaxxSaver12,9339.9836208,67986.40000000001,311.33278736,2266.2133333333336,192.30931599999994,1178.0,213.7748164,1316.2,231.4467636,2073.8,347.48782980000004,2820.9,441.19359239999994,3424.2,461.96014379999997,3557.9,305.954727,2553.5,269.28320279999997,2317.4,219.36640839999995,1352.2,246.20604999999995,1525.0,181.52996919999995,1108.6,174.49388259999995,1063.3,191.67249579999998,1173.9,313.4138794,1957.7,382.2333612,3044.6,441.75275160000007,3427.8,423.51794879999994,3310.4,431.79661139999996,3363.7,348.93232439999997,2830.2,319.1763255999999,1994.8,216.461887,1333.5,228.77892159999996,1412.8,245.72455179999997,1521.9,211.6935016,1302.8,257.90179659999995,1600.3,264.689368,1644.0,303.06573779999997,2534.9,480.1328178,3674.9,539.2794354,4055.7,454.753203,3511.5
FrontierUtilities_SaverMax12,9778.781164799999,67986.40000000001,325.95937216,2266.2133333333336,220.83969599999998,1178.0,242.1269184,1316.2,233.82156160000005,2073.8,348.89886880000006,2820.9,441.82637439999996,3424.2,462.4204528,3557.9,307.710712,2553.5,271.3437568,2317.4,247.6720704,1352.2,274.2888,1525.0,210.14987519999997,1108.6,203.1722256,1063.3,220.20816480000002,1173.9,340.9384464,1957.7,383.3558271999999,3044.6,442.3808896000001,3427.8,424.29753279999994,3310.4,432.5074384,3363.7,350.3313664,2830.2,346.65303359999996,1994.8,244.791672,1333.5,257.0064096,1412.8,273.8113008,1521.9,240.0628896,1302.8,285.88740959999996,1600.3,292.618608,1644.0,304.8457168,2534.9,480.44219680000003,3674.9,539.0975824000001,4055.7,455.273368,3511.5
FlagshipPower_Galleon2000-36,11356.630444800001,67986.40000000001,378.55434816,2266.2133333333336,250.86529599999997,1178.0,279.78115840000004,1316.2,238.29532160000008,2073.8,394.6125488000001,2820.9,520.8422143999999,3424.2,548.8165328,3557.9,338.66391200000004,2553.5,289.26423680000005,2317.4,287.3135104,1352.2,323.46880000000004,1525.0,236.34459519999996,1108.6,226.8663856,1063.3,250.00744480000003,1173.9,414.00348640000004,1957.7,441.4177472,3044.6,521.5954496000002,3427.8,497.0316128,3310.4,508.1836784000001,3363.7,396.5584064,2830.2,421.7659936,1994.8,283.40087200000005,1333.5,299.99296960000004,1412.8,322.8201808,1521.9,276.9774496,1302.8,339.22396960000003,1600.3,348.367408,1644.0,334.7721968,2534.9,573.2966768,3674.9,652.9722224000001,4055.7,539.1081680000001,3511.5
GexaEnergy_EcoSaverPremium12,9846.7675648,67986.40000000001,328.22558549333337,2266.2133333333336,222.01769599999997,1178.0,243.4431184,1316.2,235.89536160000006,2073.8,351.71976880000005,2820.9,445.25057439999995,3424.2,465.97835280000004,3557.9,310.264212,2553.5,273.6611568,2317.4,249.02427039999998,1352.2,275.8138,1525.0,211.25847519999996,1108.6,204.23552559999996,1063.3,221.38206480000002,1173.9,342.8961464,1957.7,386.40042719999997,3044.6,445.8086896000001,3427.8,427.60793279999996,3310.4,435.8711384,3363.7,353.16156639999997,2830.2,348.6478336,1994.8,246.12517200000002,1333.5,258.4192096,1412.8,275.3332008,1521.9,241.3656896,1302.8,287.4877096,1600.3,294.262608,1644.0,307.3806168,2534.9,484.1170968,3674.9,543.1532824000001,4055.7,458.784868,3511.5
4change_OneRate12,9122.1032656,67986.40000000001,304.07010885333335,2266.2133333333336,162.54361199999997,1178.0,180.5170748,1316.2,279.0459852,2073.8,376.20932860000005,2820.9,454.67090679999995,3424.2,472.0591266,3557.9,341.432889,2553.5,310.7271396,2317.4,185.19901879999998,1352.2,207.67234999999997,1525.0,153.51786439999995,1108.6,147.6264182,1063.3,162.0103906,1173.9,263.9467158,1957.7,405.3024084,3044.6,455.1391012,3427.8,439.8707615999999,3310.4,446.8026398,3363.7,377.41883079999997,2830.2,268.7717192,1994.8,182.76700899999997,1333.5,193.08029119999998,1412.8,207.26918259999997,1521.9,178.7743512,1302.8,217.46541619999996,1600.3,223.14877599999997,1644.0,339.0138846,2534.9,487.2754446,3674.9,536.8000078,4055.7,466.02462099999997,3511.5
4change_OneRate24,9122.1032656,67986.40000000001,304.07010885333335,2266.2133333333336,162.54361199999997,1178.0,180.5170748,1316.2,279.0459852,2073.8,376.20932860000005,2820.9,454.67090679999995,3424.2,472.0591266,3557.9,341.432889,2553.5,310.7271396,2317.4,185.19901879999998,1352.2,207.67234999999997,1525.0,153.51786439999995,1108.6,147.6264182,1063.3,162.0103906,1173.9,263.9467158,1957.7,405.3024084,3044.6,455.1391012,3427.8,439.8707615999999,3310.4,446.8026398,3363.7,377.41883079999997,2830.2,268.7717192,1994.8,182.76700899999997,1333.5,193.08029119999998,1412.8,207.26918259999997,1521.9,178.7743512,1302.8,217.46541619999996,1600.3,223.14877599999997,1644.0,339.0138846,2534.9,487.2754446,3674.9,536.8000078,4055.7,466.02462099999997,3511.5
